number	Title	User	date	Content
#1	Thank you Darin Higgins	Pim	27-may-'26	"I kept<em>meaning</em> to make a website, to catalogue stuff i've learned, to give back a bit. But I've just always been a chronic perfectionist. Which is step 1 to procrastinate. But on a sunny tuesday morning (last night) I found this beautiful 2012 webpage. <a href=https://darinhiggins.com/2012/06/09/how-to-force-a-single-instance-of-firefox/.>https://darinhiggins.com/2012/06/09/how-to-force-a-single-instance-of-firefox/</a> Header: Visual Basic Feng Shui. Problem: not quite the one i was having. Solution: well man, honestly click off here first.

This is a wonderful journey of solving, giving vaguesolution attempts, and realising The extension darin was trying to fix already had a setting to do that, which he missed. TLike it's not multipe edits, it's not a narrative. Just one cohesive narrated journey of oops. This sold me.<a id=hub-noteref[1] href=#hub-note[1]><sup>[1]</sup></a>

This was the motivation i was really missing,<em>to ramble</em>"
#2		Pim	27-may-'26	Oh, isn't it good / would that i knewd / Norwegian food
#3	My absurd ambition after post 1 -or- the revolution	Pim	27-may-'26	"What if i asked others to post here? What if i made it easy for anyone to? What if this was also my whole website, with a tag system? What if this was EVERYONE's whole website? and social media too? BLOCIAL MEDIA

<details><summary style=""color:var(--vivid-green)"">Read more</summary>You'll just press [write new post], add a [title] (optional, otherwise it's a mini), a [name], optional [tags], and write. draw. We'll all see it chronoligically. 0 alg, just navigation. You can find it by time, author, or tags, non-heirarchically. You can then go to your own author page (if you sign up), and edit it to make it your own. But here's the cool thing, it could just be rss. Ok why's that a cool thing?

You now have your own website. It's up. It has navigation too. It gets built automatically. Blocial media.<a id=hub-noteref[2] href=#hub-note[2] title=""technical details pending""><sup>[2]</sup></a> Mid effort cyber-socialising. It's more pressure than a tweet, but not much. It's just us, for the non-imaginary future at least. You're also anyone, logging in is just an option. It's lower pressure than publishing something proper, but not less easy to visually make your own (and it will ALWAYS stay very readable, I promise I wont let you eak that). It'll also just be simple html too, so you can back it up, remake it. Integrate the live one still. So we're making tumblr but wordpress but bluesky but substack, with pretty pictures everywhere too.

but unlike all those it doesn't get swallowed up, it doesnt get lost. doesn't become a deep mess that's so hard to engage with you need more and more content. a bit like journal, just not closed or dusty.

Really anything. Essays, articles, poems, comic strips, paintings, cat pics, jokes, tips. I'll probably stick to random tips, and updates on software things I've found or started... for a while at least. So much bottled genius. (Hopefully this organises it for me too). But please don't let me set the scene. Anything that follows the neo-cities guidelines is more than welcome. The minimum effort is  making something nice, but not rereading it. Your stories you have in some notes, that list of hilarious band names, tshirt designs, -- ooh there'll be a weekly self-deleting comment section, so you can share an email if you want. </details>
tangentially related but <a href=https://www.theguardian.com/technology/2025/oct/05/way-past-its-prime-how-did-amazon-get-so-rubbish> this article rocks</a> -- enshittification guy is not a lib. He says we need healthy and free online spaces to organise on. Democracy, not begging. Let's see how high we can get that post #."
#4		Pim	28-may-'26	"Bro web coding is insane, how is there no built in read more/less. Engineering that took me 10x longer than everything else. Honestly some dread about how janky all software is.

but look haha it behaves like you'd expect."
#5		Pim	29-may-'26	"i can hear a bee tht soudns like a human imperonanting a bee

zaying bZZzzzZz bzz bZZzzzzZz

like, agessively so"
#6	🥐	Pim	30-may-'26	"<img src=babcat.jpeg width=100%>

arm 😋"
#7		Pim	7-june-'26	"Sorry for ditching you guys right before making the post-building thing. I prorastinated making the perfect pomodoro timer. look at these fucking squirrels

<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4lcP3JgCRL0?si=B607yuE6TRr1TPxl"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
#8	Ok jessus got it	Pim	pm-27-june'26	Just go to <a href=build/alternative-editors.html>Alternative Editors</a>
#9	 still working?	Pim	pm-27-june'26	having a nice break now. overbooped a bit. happy it's at least useable
#10	Big time	Pim	pm-28-june'26	"Now I can finally introduce you, to the proper <a href=build/post-editor.html><b>Post Editor</b></a>

<iframe src=build/post-editor.html width=100% height=auto>  </iframe>

now that i finally got this site working i can put my time into the fun stuff. (pls any feelings or thoughts)"
#11	mmmmm	Pim	am-29-june'26	<div>Hello</div><div><br/></div><div>How badouts it. How about we take some time and write this out. <br/><br/>I've had a long day. I woke up really tired after yesterday. Did too much in stress mode. Today I've been able to come out of it a bit but still there hyping me up. I guess I got worried that I would get into a pattern where this tires me out and I hate it and stop. But that mindset is part of that cycle huh.</div><div><br/></div><div>Gotta stop the guilt too. but also just break it by resting. I need habits about this..  pls help</div>
